Report Number,WorkerNum,Dates,Q1Sunday,Q1Monday,Q1Tuesday,Q1Wednesday,Q1Thursday,Q1Friday,Q1Saturday,Q2Sunday,Q2Monday,Q2Tuesday,Q2Wednesday,Q2Thursday,Q2Friday,Q2Saturday,Q3Sunday,Q3Monday,Q3Tuesday,Q3Wednesday,Q3Thursday,Q3Friday,Q3Saturday,Q4Sunday,Q4Monday,Q4Tuesday,Q4Wednesday,Q4Thursday,Q4Friday,Q4Saturday,Q5Sunday,Q5Monday,Q5Tuesday,Q5Wednesday,Q5Thursday,Q5Friday,Q5Saturday
93565152,162474,10/10/21 - 10/16/2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
93604965,166942,10/10/21 - 10/16/1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93658199,162476,10/10/21 - 10/16/0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93640233,162460,10/10/21 - 10/16/1,0,0,0,1,1,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
93611089,164682,10/10/21 - 10/16/2,0,0,0,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
93570054,162489,10/10/21 - 10/16/3,0,0,0,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93548829,162458,10/10/21 - 10/16/4,0,0,1,2,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93554081,164252,10/10/21 - 10/16/5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93532973,164256,10/10/21 - 10/16/6,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
93545798,162491,10/10/21 - 10/16/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,51,11,0,0,0,0,6,10,3,0,0,0,0,0,0,0,0,0
93514352,163497,10/10/21 - 10/16/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,44,39,5,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0
93514307,164676,10/10/21 - 10/16/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,42,0,0,0,0,0,82,4,0,0,0,0,0,0,0,0,0,0,0
93482610,162494,10/10/21 - 10/16/10,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93483425,162480,10/10/21 - 10/16/11,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93476096,163499,10/10/21 - 10/16/12,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93478995,162457,10/10/21 - 10/16/13,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93471993,162475,10/10/21 - 10/16/14,2,2,0,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93471233,163494,10/10/21 - 10/16/15,2,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93468686,162492,10/10/21 - 10/16/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93537492,162477,10/10/21 - 10/16/17,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93464962,162454,10/10/21 - 10/16/18,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93481112,162485,10/10/21 - 10/16/19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93485141,164257,10/10/21 - 10/16/20,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93460777,164255,10/10/21 - 10/16/21,1,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
