Report Number,WorkerNum,Dates,Q1Sunday,Q1Monday,Q1Tuesday,Q1Wednesday,Q1Thursday,Q1Friday,Q1Saturday,Q2Sunday,Q2Monday,Q2Tuesday,Q2Wednesday,Q2Thursday,Q2Friday,Q2Saturday,Q3Sunday,Q3Monday,Q3Tuesday,Q3Wednesday,Q3Thursday,Q3Friday,Q3Saturday,Q4Sunday,Q4Monday,Q4Tuesday,Q4Wednesday,Q4Thursday,Q4Friday,Q4Saturday,Q5Sunday,Q5Monday,Q5Tuesday,Q5Wednesday,Q5Thursday,Q5Friday,Q5Saturday
93492536,164676,10/03/2021  10/09/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,2,0,0,14,5,4,2,2,0,0,0,0,0,0,0,0
93292748,162474,10/03/2021  10/09/2022,0,0,2,1,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
93398219,162476,10/03/2021  10/09/2023,0,0,0,0,0,0,0,1,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93310433,164682,10/03/2021  10/09/2024,0,0,0,0,0,0,0,0,0,2,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93298330,162458,10/03/2021  10/09/2025,0,0,0,0,0,2,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93306233,166942,10/03/2021  10/09/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93279498,164256,10/03/2021  10/09/2027,0,0,0,1,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93266415,162473,10/03/2021  10/09/2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93266462,162494,10/03/2021  10/09/2029,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93260498,163499,10/03/2021  10/09/2030,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93254122,163497,10/03/2021  10/09/2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
93239169,162477,10/03/2021  10/09/2032,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
93216487,162485,10/03/2021  10/09/2033,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93217860,164257,10/03/2021  10/09/2034,0,0,0,0,0,0,0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93459065,162460,10/03/2021  10/09/2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93213702,162476,10/03/2021  10/09/2036,0,0,0,0,0,2,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93209028,162457,10/03/2021  10/09/2037,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93300120,162491,10/03/2021  10/09/2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93203449,162475,10/03/2021  10/09/2039,1,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93201927,163494,10/03/2021  10/09/2040,2,2,4,1,3,0,0,3,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93201893,164252,10/03/2021  10/09/2041,1,0,0,1,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93195725,162454,10/03/2021  10/09/2042,1,0,1,0,2,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
93219695,162492,10/03/2021  10/09/2043,3,1,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93192890,164254,10/03/2021  10/09/2044,2,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93192304,164255,10/03/2021  10/09/2045,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93192241,162489,10/03/2021  10/09/2046,1,0,0,0,2,1,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93216051,162480,10/03/2021  10/09/2047,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
