Report Number,WorkerNum,Dates,Q1Sunday,Q1Monday,Q1Tuesday,Q1Wednesday,Q1Thursday,Q1Friday,Q1Saturday,Q2Sunday,Q2Monday,Q2Tuesday,Q2Wednesday,Q2Thursday,Q2Friday,Q2Saturday,Q3Sunday,Q3Monday,Q3Tuesday,Q3Wednesday,Q3Thursday,Q3Friday,Q3Saturday,Q4Sunday,Q4Monday,Q4Tuesday,Q4Wednesday,Q4Thursday,Q4Friday,Q4Saturday,Q5Sunday,Q5Monday,Q5Tuesday,Q5Wednesday,Q5Thursday,Q5Friday,Q5Saturday
92240634,164256,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92363919,162473,09/05/2021 - 09/11/2021,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92318484,162494,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92312645,162474,09/05/2021 - 09/11/2021,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
92306562,162493,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
92262764,164676,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,61,66,61,17,0,0,0,20,4,6,17,0,0,0,0,0,0,0,0
92230996,162454,09/05/2021 - 09/11/2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92205793,164252,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92179402,164257,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92149384,162485,09/05/2021 - 09/11/2021,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92136736,162458,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92147766,163499,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92147578,162480,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92146975,163494,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92218773,163497,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,28,11,0,0,0,4,0,8,11,0,0,0,0,0,0,0,0
92144619,162475,09/05/2021 - 09/11/2021,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92263614,162457,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92213702,162460,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92295988,162477,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92217793,162491,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,75,60,20,0,0,0,12,4,4,20,0,0,0,0,0,0,0,0
92129040,162492,09/05/2021 - 09/11/2021,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92125894,162489,09/05/2021 - 09/11/2021,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92126618,164255,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92126578,164254,09/05/2021 - 09/11/2021,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
